Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,BOS,CHI,1,BOS,BOS,1498.45,1504.77,1404.48,1398.16,17171,7830,804,
Eastern,1,1,8,BOS,CHI,2,BOS,BOS,1504.77,1510.79,1398.16,1392.14,17391,7610,642,
Eastern,1,1,8,BOS,CHI,3,CHI,BOS,1510.79,1518.56,1392.14,1384.37,15274,9727,709,
Eastern,1,1,8,BOS,CHI,4,CHI,BOS,1518.56,1525.92,1384.37,1377.02,15797,9204,695,
Eastern,1,2,7,CLE,IND,1,CLE,CLE,1434.06,1442.37,1415.04,1406.73,14653,10348,726,
Eastern,1,2,7,CLE,IND,2,CLE,CLE,1442.37,1450.23,1406.73,1398.87,15145,9856,714,
Eastern,1,2,7,CLE,IND,3,IND,CLE,1450.23,1459.9,1398.87,1389.2,12800,12201,793,
Eastern,1,2,7,CLE,IND,4,IND,CLE,1459.9,1469.02,1389.2,1380.08,13555,11446,833,
Eastern,1,3,6,TOR,MIL,1,TOR,TOR,1483.45,1490.74,1426.96,1419.67,15911,9090,718,
Eastern,1,3,6,TOR,MIL,2,TOR,TOR,1490.74,1497.65,1419.67,1412.76,16372,8629,724,
Eastern,1,3,6,TOR,MIL,3,MIL,TOR,1497.65,1506.37,1412.76,1404.04,14056,10945,799,
Eastern,1,3,6,TOR,MIL,4,MIL,TOR,1506.37,1514.59,1404.04,1395.82,14544,10457,789,
Eastern,1,4,5,WAS,ATL,1,WAS,WAS,1476.55,1483.22,1395.96,1389.3,16635,8366,688,
Eastern,1,4,5,WAS,ATL,2,WAS,WAS,1483.22,1489.54,1389.3,1382.98,17171,7830,700,
Eastern,1,4,5,WAS,ATL,3,ATL,WAS,1489.54,1497.65,1382.98,1374.87,14775,10226,785,
Eastern,1,4,5,WAS,ATL,4,ATL,WAS,1497.65,1505.31,1374.87,1367.21,15274,9727,770,
Eastern,2,1,4,BOS,WAS,1,BOS,BOS,1525.92,1534.19,1505.31,1497.04,14653,10348,789,
Eastern,2,1,4,BOS,WAS,2,BOS,BOS,1534.19,1542,1497.04,1489.22,15145,9856,721,
Eastern,2,1,4,BOS,WAS,3,WAS,BOS,1542,1551.64,1489.22,1479.59,12800,12201,756,
Eastern,2,1,4,BOS,WAS,4,WAS,BOS,1551.64,1560.72,1479.59,1470.51,13555,11446,791,
Eastern,2,2,3,CLE,TOR,1,CLE,TOR,1514.59,1524.43,1469.02,1459.18,12551,12450,797,
Eastern,2,2,3,CLE,TOR,2,CLE,TOR,1524.43,1533.71,1459.18,1449.91,13300,11701,759,
Eastern,2,2,3,CLE,TOR,3,TOR,TOR,1533.71,1540.29,1449.91,1443.33,16915,8086,659,
Eastern,2,2,3,CLE,TOR,4,TOR,TOR,1540.29,1546.54,1443.33,1437.08,17171,7830,696,
Eastern,3,1,3,BOS,TOR,1,BOS,BOS,1560.72,1569.17,1546.54,1538.08,14424,10577,731,
Eastern,3,1,3,BOS,TOR,2,BOS,BOS,1569.17,1577.15,1538.08,1530.1,15145,9856,713,
Eastern,3,1,3,BOS,TOR,3,TOR,BOS,1577.15,1586.95,1530.1,1520.3,12800,12201,809,
Eastern,3,1,3,BOS,TOR,4,TOR,BOS,1586.95,1596.18,1520.3,1511.07,13300,11701,828,
Western,1,1,8,GSW,POR,1,GSW,GSW,1618.04,1622.46,1439.09,1434.67,19453,5548,575,
Western,1,1,8,GSW,POR,2,GSW,GSW,1622.46,1626.71,1434.67,1430.43,19716,5285,565,
Western,1,1,8,GSW,POR,3,POR,GSW,1626.71,1632.49,1430.43,1424.64,17761,7240,644,
Western,1,1,8,GSW,POR,4,POR,GSW,1632.49,1638,1424.64,1419.13,18016,6985,624,
Western,1,2,7,SAS,MEM,1,SAS,SAS,1534.73,1539.63,1379.11,1374.21,18948,6053,670,
Western,1,2,7,SAS,MEM,2,SAS,SAS,1539.63,1544.32,1374.21,1369.52,19201,5800,631,
Western,1,2,7,SAS,MEM,3,MEM,SAS,1544.32,1550.62,1369.52,1363.21,17013,7988,683,
Western,1,2,7,SAS,MEM,4,MEM,SAS,1550.62,1556.62,1363.21,1357.22,17535,7466,639,
Western,1,3,6,HOU,OKC,1,HOU,HOU,1493.51,1501.23,1452.72,1445,15405,9596,765,
Western,1,3,6,HOU,OKC,2,HOU,HOU,1501.23,1508.53,1445,1437.7,15911,9090,752,
Western,1,3,6,HOU,OKC,3,OKC,HOU,1508.53,1517.64,1437.7,1428.59,13555,11446,768,
Western,1,3,6,HOU,OKC,4,OKC,HOU,1517.64,1526.24,1428.59,1419.99,14309,10692,735,
Western,1,4,5,LAC,UTA,1,LAC,LAC,1485.69,1494.97,1500.66,1491.38,13407,11594,813,
Western,1,4,5,LAC,UTA,2,LAC,LAC,1494.97,1503.72,1491.38,1482.63,14181,10820,752,
Western,1,4,5,LAC,UTA,3,UTA,UTA,1482.63,1492.09,1503.72,1494.27,13160,11841,748,
Western,1,4,5,LAC,UTA,4,UTA,UTA,1492.09,1501,1494.27,1485.35,13932,11069,780,
Western,1,4,5,LAC,UTA,5,LAC,LAC,1485.35,1494.65,1501,1491.7,13407,11594,809,
Western,1,4,5,LAC,UTA,6,UTA,UTA,1491.7,1500.64,1494.65,1485.71,13932,11069,821,
Western,1,4,5,LAC,UTA,7,LAC,LAC,1485.71,1494.99,1500.64,1491.36,13407,11594,810,
Western,2,1,4,GSW,LAC,1,GSW,GSW,1638,1643.17,1494.99,1489.82,18690,6311,649,
Western,2,1,4,GSW,LAC,2,GSW,GSW,1643.17,1648.12,1489.82,1484.88,18948,6053,636,
Western,2,1,4,GSW,LAC,3,LAC,GSW,1648.12,1654.71,1484.88,1478.28,16775,8226,719,
Western,2,1,4,GSW,LAC,4,LAC,GSW,1654.71,1660.98,1478.28,1472.02,17013,7988,710,
Western,2,2,3,SAS,HOU,1,SAS,SAS,1556.62,1564.62,1526.24,1518.24,14885,10116,782,
Western,2,2,3,SAS,HOU,2,SAS,SAS,1564.62,1572.18,1518.24,1510.67,15670,9331,756,
Western,2,2,3,SAS,HOU,3,HOU,SAS,1572.18,1581.57,1510.67,1501.29,13300,11701,831,
Western,2,2,3,SAS,HOU,4,HOU,SAS,1581.57,1590.41,1501.29,1492.45,13792,11209,795,
Western,3,1,2,GSW,SAS,1,GSW,GSW,1660.98,1667.9,1590.41,1583.49,16372,8629,730,
Western,3,1,2,GSW,SAS,2,GSW,GSW,1667.9,1674.46,1583.49,1576.93,16915,8086,709,
Western,3,1,2,GSW,SAS,3,SAS,GSW,1674.46,1682.82,1576.93,1568.57,14544,10457,782,
Western,3,1,2,GSW,SAS,4,SAS,GSW,1682.82,1690.72,1568.57,1560.67,15029,9972,714,
Final,4,1,1,GSW,BOS,1,GSW,GSW,1690.72,1697.03,1596.18,1589.87,17171,7830,645,
Final,4,1,1,GSW,BOS,2,GSW,GSW,1697.03,1703.03,1589.87,1583.87,17391,7610,682,
Final,4,1,1,GSW,BOS,3,BOS,GSW,1703.03,1710.79,1583.87,1576.11,15274,9727,768,
Final,4,1,1,GSW,BOS,4,BOS,GSW,1710.79,1718.13,1576.11,1568.77,15797,9204,753,
